"Ionic radius ","Temperature","Frequency","Re(Z)","Img(Z)"
"1.82E-10","-10","1.00E+6","3.16E+3","9.67E+3"
"1.82E-10","-10","9.26E+5","3.48E+3","1.02E+4"
"1.82E-10","-10","8.58E+5","3.84E+3","1.03E+4"
"1.82E-10","-10","7.94E+5","4.21E+3","1.06E+4"
"1.82E-10","-10","7.36E+5","4.53E+3","1.09E+4"
"1.82E-10","-10","6.81E+5","4.87E+3","1.13E+4"
"1.82E-10","-10","6.31E+5","5.22E+3","1.16E+4"
"1.82E-10","-10","5.84E+5","5.57E+3","1.20E+4"
"1.82E-10","-10","5.41E+5","5.94E+3","1.24E+4"
"1.82E-10","-10","5.01E+5","6.33E+3","1.29E+4"
"1.82E-10","-10","4.64E+5","6.66E+3","1.33E+4"
"1.82E-10","-10","4.30E+5","7.19E+3","1.38E+4"
"1.82E-10","-10","3.98E+5","7.55E+3","1.41E+4"
"1.82E-10","-10","3.69E+5","7.97E+3","1.48E+4"
"1.82E-10","-10","3.41E+5","8.46E+3","1.52E+4"
"1.82E-10","-10","3.16E+5","8.93E+3","1.58E+4"
"1.82E-10","-10","2.93E+5","9.43E+3","1.62E+4"
"1.82E-10","-10","2.71E+5","9.95E+3","1.69E+4"
"1.82E-10","-10","2.51E+5","1.05E+4","1.75E+4"
"1.82E-10","-10","2.33E+5","1.10E+4","1.81E+4"
"1.82E-10","-10","2.15E+5","1.16E+4","1.86E+4"
"1.82E-10","-10","2.00E+5","1.22E+4","1.93E+4"
"1.82E-10","-10","1.85E+5","1.28E+4","1.99E+4"
"1.82E-10","-10","1.71E+5","1.35E+4","2.07E+4"
"1.82E-10","-10","1.58E+5","1.42E+4","2.13E+4"
"1.82E-10","-10","1.47E+5","1.47E+4","2.21E+4"
"1.82E-10","-10","1.36E+5","1.54E+4","2.28E+4"
"1.82E-10","-10","1.26E+5","1.62E+4","2.37E+4"
"1.82E-10","-10","1.17E+5","1.69E+4","2.44E+4"
"1.82E-10","-10","1.08E+5","1.77E+4","2.52E+4"
"1.82E-10","-10","1.00E+5","1.85E+4","2.61E+4"
"1.82E-10","-10","9.26E+4","1.93E+4","2.70E+4"
"1.82E-10","-10","8.58E+4","2.01E+4","2.79E+4"
"1.82E-10","-10","7.94E+4","2.09E+4","2.90E+4"
"1.82E-10","-10","7.36E+4","2.18E+4","3.01E+4"
"1.82E-10","-10","6.81E+4","2.27E+4","3.12E+4"
"1.82E-10","-10","6.31E+4","2.37E+4","3.23E+4"
"1.82E-10","-10","5.84E+4","2.46E+4","3.34E+4"
"1.82E-10","-10","5.41E+4","2.58E+4","3.49E+4"
"1.82E-10","-10","5.01E+4","2.70E+4","3.62E+4"
"1.82E-10","-10","4.64E+4","2.82E+4","3.75E+4"
"1.82E-10","-10","4.30E+4","2.93E+4","3.89E+4"
"1.82E-10","-10","3.98E+4","3.00E+4","4.03E+4"
"1.82E-10","-10","3.69E+4","3.12E+4","4.18E+4"
"1.82E-10","-10","3.41E+4","3.26E+4","4.34E+4"
"1.82E-10","-10","3.16E+4","3.41E+4","4.52E+4"
"1.82E-10","-10","2.93E+4","3.55E+4","4.67E+4"
"1.82E-10","-10","2.71E+4","3.71E+4","4.84E+4"
"1.82E-10","-10","2.51E+4","3.88E+4","5.02E+4"
"1.82E-10","-10","2.33E+4","4.07E+4","5.24E+4"
"1.82E-10","-10","2.15E+4","4.19E+4","5.37E+4"
"1.82E-10","-10","1.99E+4","4.33E+4","5.58E+4"
"1.82E-10","-10","1.85E+4","4.47E+4","5.76E+4"
"1.82E-10","-10","1.71E+4","4.66E+4","5.96E+4"
"1.82E-10","-10","1.58E+4","4.84E+4","6.18E+4"
"1.82E-10","-10","1.47E+4","4.98E+4","6.41E+4"
"1.82E-10","-10","1.36E+4","5.10E+4","6.63E+4"
"1.82E-10","-10","1.26E+4","5.21E+4","6.86E+4"
"1.82E-10","-10","1.17E+4","5.39E+4","7.18E+4"
"1.82E-10","-10","1.08E+4","5.52E+4","7.48E+4"
"1.82E-10","-10","1.00E+4","5.67E+4","7.83E+4"
"1.82E-10","-10","9.26E+3","5.78E+4","8.18E+4"
"1.82E-10","-10","8.57E+3","5.89E+4","8.57E+4"
"1.82E-10","-10","7.94E+3","6.03E+4","9.02E+4"
"1.82E-10","-10","7.35E+3","6.19E+4","9.50E+4"
"1.82E-10","-10","6.81E+3","6.31E+4","1.00E+5"
"1.82E-10","-10","6.31E+3","6.44E+4","1.06E+5"
"1.82E-10","-10","5.84E+3","6.57E+4","1.12E+5"
"1.82E-10","-10","5.41E+3","6.76E+4","1.19E+5"
"1.82E-10","-10","5.01E+3","6.94E+4","1.26E+5"
"1.82E-10","-10","4.64E+3","7.16E+4","1.34E+5"
"1.82E-10","-10","4.30E+3","7.41E+4","1.42E+5"
"1.82E-10","-10","3.98E+3","7.67E+4","1.51E+5"
"1.82E-10","-10","3.69E+3","7.97E+4","1.61E+5"
"1.82E-10","-10","3.42E+3","8.27E+4","1.70E+5"
"1.82E-10","-10","3.16E+3","8.71E+4","1.82E+5"
"1.82E-10","-10","2.93E+3","9.15E+4","1.94E+5"
"1.82E-10","-10","2.71E+3","9.65E+4","2.06E+5"
"1.82E-10","-10","2.51E+3","1.02E+5","2.19E+5"
"1.82E-10","-10","2.33E+3","1.08E+5","2.33E+5"
"1.82E-10","-10","2.15E+3","1.15E+5","2.48E+5"
"1.82E-10","-10","2.00E+3","1.23E+5","2.62E+5"
"1.82E-10","-10","1.85E+3","1.30E+5","2.79E+5"
"1.82E-10","-10","1.71E+3","1.42E+5","2.96E+5"
"1.82E-10","-10","1.58E+3","1.52E+5","3.15E+5"
"1.82E-10","-10","1.47E+3","1.66E+5","3.33E+5"
"1.82E-10","-10","1.36E+3","1.78E+5","3.52E+5"
"1.82E-10","-10","1.26E+3","1.90E+5","3.71E+5"
"1.82E-10","-10","1.17E+3","2.08E+5","3.91E+5"
"1.82E-10","-10","1.08E+3","2.26E+5","4.12E+5"
"1.82E-10","-10","1.00E+3","2.44E+5","4.34E+5"
"1.82E-10","-10","9.26E+2","2.66E+5","4.55E+5"
"1.82E-10","-10","8.58E+2","2.88E+5","4.76E+5"
"1.82E-10","-10","7.94E+2","3.12E+5","4.97E+5"
"1.82E-10","-10","7.36E+2","3.36E+5","5.20E+5"
"1.82E-10","-10","6.81E+2","3.63E+5","5.42E+5"
"1.82E-10","-10","6.31E+2","3.91E+5","5.62E+5"
"1.82E-10","-10","5.84E+2","4.22E+5","5.83E+5"
"1.82E-10","-10","5.41E+2","4.54E+5","6.04E+5"
"1.82E-10","-10","5.01E+2","4.90E+5","6.23E+5"
"1.82E-10","-10","4.64E+2","5.26E+5","6.42E+5"
"1.82E-10","-10","4.30E+2","5.65E+5","6.60E+5"
"1.82E-10","-10","3.98E+2","6.04E+5","6.78E+5"
"1.82E-10","-10","3.69E+2","6.46E+5","6.96E+5"
"1.82E-10","-10","3.41E+2","6.86E+5","7.08E+5"
"1.82E-10","-10","3.16E+2","7.29E+5","7.23E+5"
"1.82E-10","-10","2.93E+2","7.72E+5","7.31E+5"
"1.82E-10","-10","2.71E+2","8.18E+5","7.39E+5"
"1.82E-10","-10","2.51E+2","8.72E+5","7.45E+5"
"1.82E-10","-10","2.33E+2","9.09E+5","7.54E+5"
"1.82E-10","-10","2.15E+2","9.56E+5","7.62E+5"
"1.82E-10","-10","2.00E+2","9.99E+5","7.61E+5"
"1.82E-10","-10","1.85E+2","1.05E+6","7.63E+5"
"1.82E-10","-10","1.71E+2","1.10E+6","7.61E+5"
"1.82E-10","-10","1.59E+2","1.14E+6","7.61E+5"
"1.82E-10","-10","1.47E+2","1.18E+6","7.65E+5"
"1.82E-10","-10","1.36E+2","1.23E+6","7.59E+5"
"1.82E-10","-10","1.26E+2","1.27E+6","7.49E+5"
"1.82E-10","-10","1.17E+2","1.32E+6","7.38E+5"
"1.82E-10","-10","1.08E+2","1.35E+6","7.31E+5"
"1.82E-10","-10","1.00E+2","1.39E+6","7.25E+5"
"1.82E-10","-10","9.26E+1","1.43E+6","7.17E+5"
"1.82E-10","-10","8.58E+1","1.47E+6","7.04E+5"
"1.82E-10","-10","7.94E+1","1.51E+6","6.93E+5"
"1.82E-10","-10","7.36E+1","1.55E+6","6.85E+5"
"1.82E-10","-10","6.81E+1","1.58E+6","6.64E+5"
"1.82E-10","-10","6.31E+1","1.61E+6","6.80E+5"
"1.82E-10","-10","5.84E+1","1.64E+6","6.76E+5"
"1.82E-10","-10","5.41E+1","1.67E+6","6.76E+5"
"1.82E-10","-10","5.01E+1","1.66E+6","4.89E+5"
"1.82E-10","-10","4.64E+1","1.69E+6","6.45E+5"
"1.82E-10","-10","4.30E+1","1.77E+6","6.12E+5"
"1.82E-10","-10","3.98E+1","1.79E+6","6.19E+5"
"1.82E-10","-10","3.69E+1","1.80E+6","5.99E+5"
"1.82E-10","-10","3.41E+1","1.84E+6","5.87E+5"
"1.82E-10","-10","3.16E+1","1.88E+6","5.85E+5"
"1.82E-10","-10","2.93E+1","1.89E+6","5.70E+5"
"1.82E-10","-10","2.71E+1","1.92E+6","5.86E+5"
"1.82E-10","-10","2.51E+1","1.94E+6","5.74E+5"
"1.82E-10","-10","2.33E+1","1.96E+6","5.78E+5"
"1.82E-10","-10","2.16E+1","1.97E+6","5.58E+5"
"1.82E-10","-10","2.00E+1","2.00E+6","5.57E+5"
"1.82E-10","-10","1.85E+1","2.02E+6","5.62E+5"
"1.82E-10","-10","1.71E+1","2.05E+6","5.67E+5"
"1.82E-10","-10","1.58E+1","2.08E+6","5.69E+5"
"1.82E-10","-10","1.47E+1","2.09E+6","5.58E+5"
"1.82E-10","-10","1.36E+1","2.10E+6","5.71E+5"
"1.82E-10","-10","1.26E+1","2.13E+6","5.68E+5"
"1.82E-10","-10","1.17E+1","2.15E+6","5.95E+5"
"1.82E-10","-10","1.08E+1","2.19E+6","6.12E+5"
"1.82E-10","-10","1.00E+1","2.18E+6","6.13E+5"
"1.82E-10","-10","9.26E+0","2.21E+6","6.10E+5"
"1.82E-10","-10","8.58E+0","2.22E+6","6.18E+5"
"1.82E-10","-10","7.94E+0","2.26E+6","6.46E+5"
"1.82E-10","-10","7.36E+0","2.29E+6","6.50E+5"
"1.82E-10","-10","6.81E+0","2.32E+6","6.72E+5"
"1.82E-10","-10","6.31E+0","2.32E+6","6.94E+5"
"1.82E-10","-10","5.84E+0","2.36E+6","7.09E+5"
"1.82E-10","-10","5.41E+0","2.37E+6","7.22E+5"
"1.82E-10","-10","5.01E+0","2.43E+6","7.59E+5"
"1.82E-10","-10","4.64E+0","2.46E+6","7.84E+5"
"1.82E-10","-10","4.30E+0","2.48E+6","8.09E+5"
"1.82E-10","-10","3.98E+0","2.49E+6","8.06E+5"
"1.82E-10","-10","3.69E+0","2.52E+6","8.34E+5"
"1.82E-10","-10","3.41E+0","2.59E+6","8.77E+5"
"1.82E-10","-10","3.16E+0","2.63E+6","9.39E+5"
"1.82E-10","-10","2.93E+0","2.62E+6","9.14E+5"
"1.82E-10","-10","2.71E+0","2.73E+6","9.80E+5"
"1.82E-10","-10","2.51E+0","2.74E+6","9.69E+5"
"1.82E-10","-10","2.33E+0","2.79E+6","9.93E+5"
"1.82E-10","-10","2.15E+0","2.84E+6","1.01E+6"
"1.82E-10","-10","2.00E+0","2.89E+6","1.07E+6"
"1.82E-10","-10","1.85E+0","2.95E+6","1.08E+6"
"1.82E-10","-10","1.71E+0","2.99E+6","1.12E+6"
"1.82E-10","-10","1.58E+0","3.05E+6","1.14E+6"
"1.82E-10","-10","1.47E+0","3.15E+6","1.16E+6"
"1.82E-10","-10","1.36E+0","3.18E+6","1.17E+6"
"1.82E-10","-10","1.26E+0","3.27E+6","1.20E+6"
"1.82E-10","-10","1.17E+0","3.30E+6","1.29E+6"
"1.82E-10","-10","1.08E+0","3.39E+6","1.26E+6"
"1.82E-10","-10","1.00E+0","3.40E+6","1.27E+6"
"1.82E-10","0","1.00E+6","3.25E+3","4.71E+3"
"1.82E-10","0","9.26E+5","3.46E+3","4.82E+3"
"1.82E-10","0","8.58E+5","3.62E+3","4.95E+3"
"1.82E-10","0","7.94E+5","3.82E+3","5.10E+3"
"1.82E-10","0","7.36E+5","4.03E+3","5.25E+3"
"1.82E-10","0","6.81E+5","4.22E+3","5.41E+3"
"1.82E-10","0","6.31E+5","4.40E+3","5.55E+3"
"1.82E-10","0","5.84E+5","4.62E+3","5.71E+3"
"1.82E-10","0","5.41E+5","4.82E+3","5.84E+3"
"1.82E-10","0","5.01E+5","4.98E+3","6.00E+3"
"1.82E-10","0","4.64E+5","5.22E+3","6.19E+3"
"1.82E-10","0","4.30E+5","5.42E+3","6.38E+3"
"1.82E-10","0","3.98E+5","5.62E+3","6.55E+3"
"1.82E-10","0","3.69E+5","5.85E+3","6.73E+3"
"1.82E-10","0","3.41E+5","6.06E+3","6.99E+3"
"1.82E-10","0","3.16E+5","6.28E+3","7.17E+3"
"1.82E-10","0","2.93E+5","6.45E+3","7.42E+3"
"1.82E-10","0","2.71E+5","6.70E+3","7.70E+3"
"1.82E-10","0","2.51E+5","6.91E+3","7.91E+3"
"1.82E-10","0","2.33E+5","7.20E+3","8.23E+3"
"1.82E-10","0","2.15E+5","7.42E+3","8.51E+3"
"1.82E-10","0","2.00E+5","7.70E+3","8.76E+3"
"1.82E-10","0","1.85E+5","7.91E+3","9.16E+3"
"1.82E-10","0","1.71E+5","8.22E+3","9.46E+3"
"1.82E-10","0","1.58E+5","8.49E+3","9.83E+3"
"1.82E-10","0","1.47E+5","8.79E+3","1.02E+4"
"1.82E-10","0","1.36E+5","9.03E+3","1.06E+4"
"1.82E-10","0","1.26E+5","9.33E+3","1.10E+4"
"1.82E-10","0","1.17E+5","9.65E+3","1.14E+4"
"1.82E-10","0","1.08E+5","9.97E+3","1.19E+4"
"1.82E-10","0","1.00E+5","1.03E+4","1.25E+4"
"1.82E-10","0","9.26E+4","1.07E+4","1.29E+4"
"1.82E-10","0","8.58E+4","1.10E+4","1.34E+4"
"1.82E-10","0","7.94E+4","1.14E+4","1.40E+4"
"1.82E-10","0","7.36E+4","1.18E+4","1.46E+4"
"1.82E-10","0","6.81E+4","1.21E+4","1.52E+4"
"1.82E-10","0","6.31E+4","1.26E+4","1.59E+4"
"1.82E-10","0","5.84E+4","1.30E+4","1.66E+4"
"1.82E-10","0","5.41E+4","1.34E+4","1.73E+4"
"1.82E-10","0","5.01E+4","1.38E+4","1.80E+4"
"1.82E-10","0","4.64E+4","1.42E+4","1.89E+4"
"1.82E-10","0","4.30E+4","1.46E+4","1.96E+4"
"1.82E-10","0","3.98E+4","1.51E+4","2.06E+4"
"1.82E-10","0","3.69E+4","1.54E+4","2.16E+4"
"1.82E-10","0","3.41E+4","1.58E+4","2.27E+4"
"1.82E-10","0","3.16E+4","1.63E+4","2.37E+4"
"1.82E-10","0","2.93E+4","1.65E+4","2.50E+4"
"1.82E-10","0","2.71E+4","1.69E+4","2.64E+4"
"1.82E-10","0","2.51E+4","1.73E+4","2.78E+4"
"1.82E-10","0","2.33E+4","1.78E+4","2.93E+4"
"1.82E-10","0","2.15E+4","1.80E+4","3.11E+4"
"1.82E-10","0","1.99E+4","1.83E+4","3.29E+4"
"1.82E-10","0","1.85E+4","1.88E+4","3.49E+4"
"1.82E-10","0","1.71E+4","1.91E+4","3.74E+4"
"1.82E-10","0","1.58E+4","1.95E+4","3.96E+4"
"1.82E-10","0","1.47E+4","1.96E+4","4.23E+4"
"1.82E-10","0","1.36E+4","2.01E+4","4.50E+4"
"1.82E-10","0","1.26E+4","2.08E+4","4.83E+4"
"1.82E-10","0","1.17E+4","2.16E+4","5.15E+4"
"1.82E-10","0","1.08E+4","2.21E+4","5.52E+4"
"1.82E-10","0","1.00E+4","2.28E+4","5.90E+4"
"1.82E-10","0","9.26E+3","2.38E+4","6.32E+4"
"1.82E-10","0","8.57E+3","2.49E+4","6.76E+4"
"1.82E-10","0","7.94E+3","2.62E+4","7.24E+4"
"1.82E-10","0","7.35E+3","2.74E+4","7.73E+4"
"1.82E-10","0","6.81E+3","2.89E+4","8.31E+4"
"1.82E-10","0","6.31E+3","3.07E+4","8.88E+4"
"1.82E-10","0","5.84E+3","3.25E+4","9.51E+4"
"1.82E-10","0","5.41E+3","3.47E+4","1.02E+5"
"1.82E-10","0","5.01E+3","3.69E+4","1.09E+5"
"1.82E-10","0","4.64E+3","3.99E+4","1.16E+5"
"1.82E-10","0","4.30E+3","4.29E+4","1.25E+5"
"1.82E-10","0","3.98E+3","4.64E+4","1.33E+5"
"1.82E-10","0","3.69E+3","4.97E+4","1.42E+5"
"1.82E-10","0","3.42E+3","5.40E+4","1.51E+5"
"1.82E-10","0","3.16E+3","5.88E+4","1.62E+5"
"1.82E-10","0","2.93E+3","6.40E+4","1.73E+5"
"1.82E-10","0","2.71E+3","7.02E+4","1.83E+5"
"1.82E-10","0","2.51E+3","7.61E+4","1.95E+5"
"1.82E-10","0","2.33E+3","8.32E+4","2.07E+5"
"1.82E-10","0","2.15E+3","9.18E+4","2.20E+5"
"1.82E-10","0","2.00E+3","1.01E+5","2.33E+5"
"1.82E-10","0","1.85E+3","1.10E+5","2.45E+5"
"1.82E-10","0","1.71E+3","1.20E+5","2.60E+5"
"1.82E-10","0","1.58E+3","1.32E+5","2.75E+5"
"1.82E-10","0","1.47E+3","1.46E+5","2.89E+5"
"1.82E-10","0","1.36E+3","1.61E+5","3.05E+5"
"1.82E-10","0","1.26E+3","1.76E+5","3.21E+5"
"1.82E-10","0","1.17E+3","1.94E+5","3.35E+5"
"1.82E-10","0","1.08E+3","2.09E+5","3.50E+5"
"1.82E-10","0","1.00E+3","2.27E+5","3.66E+5"
"1.82E-10","0","9.26E+2","2.51E+5","3.81E+5"
"1.82E-10","0","8.58E+2","2.75E+5","3.96E+5"
"1.82E-10","0","7.94E+2","2.98E+5","4.11E+5"
"1.82E-10","0","7.36E+2","3.19E+5","4.25E+5"
"1.82E-10","0","6.81E+2","3.45E+5","4.37E+5"
"1.82E-10","0","6.31E+2","3.74E+5","4.48E+5"
"1.82E-10","0","5.84E+2","4.02E+5","4.59E+5"
"1.82E-10","0","5.41E+2","4.34E+5","4.67E+5"
"1.82E-10","0","5.01E+2","4.62E+5","4.81E+5"
"1.82E-10","0","4.64E+2","4.91E+5","4.87E+5"
"1.82E-10","0","4.30E+2","5.23E+5","4.92E+5"
"1.82E-10","0","3.98E+2","5.59E+5","4.97E+5"
"1.82E-10","0","3.69E+2","5.89E+5","4.99E+5"
"1.82E-10","0","3.41E+2","6.26E+5","4.99E+5"
"1.82E-10","0","3.16E+2","6.56E+5","5.05E+5"
"1.82E-10","0","2.93E+2","6.85E+5","5.07E+5"
"1.82E-10","0","2.71E+2","7.19E+5","5.00E+5"
"1.82E-10","0","2.51E+2","7.49E+5","4.94E+5"
"1.82E-10","0","2.33E+2","7.84E+5","4.86E+5"
"1.82E-10","0","2.15E+2","8.11E+5","4.87E+5"
"1.82E-10","0","2.00E+2","8.46E+5","4.86E+5"
"1.82E-10","0","1.85E+2","8.72E+5","4.74E+5"
"1.82E-10","0","1.71E+2","8.98E+5","4.60E+5"
"1.82E-10","0","1.59E+2","9.30E+5","4.48E+5"
"1.82E-10","0","1.47E+2","9.57E+5","4.39E+5"
"1.82E-10","0","1.36E+2","9.77E+5","4.40E+5"
"1.82E-10","0","1.26E+2","1.01E+6","4.30E+5"
"1.82E-10","0","1.17E+2","1.02E+6","4.14E+5"
"1.82E-10","0","1.08E+2","1.05E+6","3.98E+5"
"1.82E-10","0","1.00E+2","1.06E+6","3.77E+5"
"1.82E-10","0","9.26E+1","1.08E+6","3.78E+5"
"1.82E-10","0","8.58E+1","1.11E+6","3.78E+5"
"1.82E-10","0","7.94E+1","1.12E+6","3.63E+5"
"1.82E-10","0","7.36E+1","1.14E+6","3.47E+5"
"1.82E-10","0","6.81E+1","1.15E+6","3.33E+5"
"1.82E-10","0","6.31E+1","1.16E+6","3.16E+5"
"1.82E-10","0","5.84E+1","1.18E+6","3.18E+5"
"1.82E-10","0","5.41E+1","1.19E+6","3.09E+5"
"1.82E-10","0","5.01E+1","1.29E+6","3.22E+5"
"1.82E-10","0","4.64E+1","1.21E+6","2.65E+5"
"1.82E-10","0","4.30E+1","1.22E+6","2.87E+5"
"1.82E-10","0","3.98E+1","1.24E+6","2.84E+5"
"1.82E-10","0","3.69E+1","1.26E+6","2.78E+5"
"1.82E-10","0","3.41E+1","1.25E+6","2.80E+5"
"1.82E-10","0","3.16E+1","1.25E+6","2.73E+5"
"1.82E-10","0","2.93E+1","1.26E+6","2.56E+5"
"1.82E-10","0","2.71E+1","1.27E+6","2.65E+5"
"1.82E-10","0","2.51E+1","1.30E+6","2.76E+5"
"1.82E-10","0","2.33E+1","1.29E+6","2.73E+5"
"1.82E-10","0","2.16E+1","1.28E+6","2.72E+5"
"1.82E-10","0","2.00E+1","1.29E+6","2.68E+5"
"1.82E-10","0","1.85E+1","1.30E+6","2.68E+5"
"1.82E-10","0","1.71E+1","1.32E+6","3.02E+5"
"1.82E-10","0","1.58E+1","1.32E+6","3.12E+5"
"1.82E-10","0","1.47E+1","1.32E+6","3.17E+5"
"1.82E-10","0","1.36E+1","1.31E+6","3.18E+5"
"1.82E-10","0","1.26E+1","1.31E+6","3.25E+5"
"1.82E-10","0","1.17E+1","1.34E+6","3.54E+5"
"1.82E-10","0","1.08E+1","1.36E+6","3.84E+5"
"1.82E-10","0","1.00E+1","1.36E+6","4.00E+5"
"1.82E-10","0","9.26E+0","1.36E+6","4.08E+5"
"1.82E-10","0","8.58E+0","1.36E+6","4.23E+5"
"1.82E-10","0","7.94E+0","1.40E+6","4.61E+5"
"1.82E-10","0","7.36E+0","1.42E+6","4.93E+5"
"1.82E-10","0","6.81E+0","1.43E+6","5.29E+5"
"1.82E-10","0","6.31E+0","1.46E+6","5.54E+5"
"1.82E-10","0","5.84E+0","1.47E+6","5.84E+5"
"1.82E-10","0","5.41E+0","1.46E+6","5.96E+5"
"1.82E-10","0","5.01E+0","1.49E+6","6.13E+5"
"1.82E-10","0","4.64E+0","1.57E+6","6.88E+5"
"1.82E-10","0","4.30E+0","1.57E+6","7.23E+5"
"1.82E-10","0","3.98E+0","1.61E+6","7.27E+5"
"1.82E-10","0","3.69E+0","1.63E+6","7.57E+5"
"1.82E-10","0","3.41E+0","1.67E+6","7.71E+5"
"1.82E-10","0","3.16E+0","1.73E+6","8.74E+5"
"1.82E-10","0","2.93E+0","1.74E+6","8.67E+5"
"1.82E-10","0","2.71E+0","1.75E+6","8.85E+5"
"1.82E-10","0","2.51E+0","1.90E+6","1.00E+6"
"1.82E-10","0","2.33E+0","1.90E+6","1.03E+6"
"1.82E-10","0","2.15E+0","2.02E+6","1.04E+6"
"1.82E-10","0","2.00E+0","2.05E+6","1.08E+6"
"1.82E-10","0","1.85E+0","2.02E+6","1.09E+6"
"1.82E-10","0","1.71E+0","2.23E+6","1.19E+6"
"1.82E-10","0","1.58E+0","2.23E+6","1.12E+6"
"1.82E-10","0","1.47E+0","2.26E+6","1.28E+6"
"1.82E-10","0","1.36E+0","2.38E+6","1.22E+6"
"1.82E-10","0","1.26E+0","2.38E+6","1.23E+6"
"1.82E-10","0","1.17E+0","2.63E+6","1.30E+6"
"1.82E-10","0","1.08E+0","2.55E+6","1.32E+6"
"1.82E-10","0","1.00E+0","2.64E+6","1.44E+6"
"1.82E-10","10","1.00E+6","3.59E+3","4.92E+3"
"1.82E-10","10","9.26E+5","3.83E+3","5.03E+3"
"1.82E-10","10","8.58E+5","4.02E+3","5.11E+3"
"1.82E-10","10","7.94E+5","4.21E+3","5.25E+3"
"1.82E-10","10","7.36E+5","4.40E+3","5.29E+3"
"1.82E-10","10","6.81E+5","4.62E+3","5.45E+3"
"1.82E-10","10","6.31E+5","4.83E+3","5.54E+3"
"1.82E-10","10","5.84E+5","5.02E+3","5.71E+3"
"1.82E-10","10","5.41E+5","5.26E+3","5.82E+3"
"1.82E-10","10","5.01E+5","5.44E+3","5.96E+3"
"1.82E-10","10","4.64E+5","5.64E+3","6.11E+3"
"1.82E-10","10","4.30E+5","5.84E+3","6.25E+3"
"1.82E-10","10","3.98E+5","6.07E+3","6.42E+3"
"1.82E-10","10","3.69E+5","6.25E+3","6.56E+3"
"1.82E-10","10","3.41E+5","6.47E+3","6.78E+3"
"1.82E-10","10","3.16E+5","6.62E+3","6.96E+3"
"1.82E-10","10","2.93E+5","6.85E+3","7.18E+3"
"1.82E-10","10","2.71E+5","7.06E+3","7.39E+3"
"1.82E-10","10","2.51E+5","7.31E+3","7.63E+3"
"1.82E-10","10","2.33E+5","7.53E+3","7.84E+3"
"1.82E-10","10","2.15E+5","7.77E+3","8.11E+3"
"1.82E-10","10","2.00E+5","8.04E+3","8.32E+3"
"1.82E-10","10","1.85E+5","8.26E+3","8.73E+3"
"1.82E-10","10","1.71E+5","8.51E+3","9.04E+3"
"1.82E-10","10","1.58E+5","8.74E+3","9.39E+3"
"1.82E-10","10","1.47E+5","9.00E+3","9.67E+3"
"1.82E-10","10","1.36E+5","9.33E+3","1.00E+4"
"1.82E-10","10","1.26E+5","9.61E+3","1.04E+4"
"1.82E-10","10","1.17E+5","9.86E+3","1.09E+4"
"1.82E-10","10","1.08E+5","1.02E+4","1.13E+4"
"1.82E-10","10","1.00E+5","1.04E+4","1.18E+4"
"1.82E-10","10","9.26E+4","1.08E+4","1.23E+4"
"1.82E-10","10","8.58E+4","1.12E+4","1.28E+4"
"1.82E-10","10","7.94E+4","1.15E+4","1.32E+4"
"1.82E-10","10","7.36E+4","1.18E+4","1.38E+4"
"1.82E-10","10","6.81E+4","1.22E+4","1.44E+4"
"1.82E-10","10","6.31E+4","1.25E+4","1.50E+4"
"1.82E-10","10","5.84E+4","1.29E+4","1.57E+4"
"1.82E-10","10","5.41E+4","1.33E+4","1.63E+4"
"1.82E-10","10","5.01E+4","1.37E+4","1.71E+4"
"1.82E-10","10","4.64E+4","1.39E+4","1.79E+4"
"1.82E-10","10","4.30E+4","1.43E+4","1.87E+4"
"1.82E-10","10","3.98E+4","1.46E+4","1.96E+4"
"1.82E-10","10","3.69E+4","1.51E+4","2.07E+4"
"1.82E-10","10","3.41E+4","1.54E+4","2.17E+4"
"1.82E-10","10","3.16E+4","1.57E+4","2.27E+4"
"1.82E-10","10","2.93E+4","1.61E+4","2.41E+4"
"1.82E-10","10","2.71E+4","1.63E+4","2.55E+4"
"1.82E-10","10","2.51E+4","1.66E+4","2.69E+4"
"1.82E-10","10","2.33E+4","1.69E+4","2.84E+4"
"1.82E-10","10","2.15E+4","1.73E+4","3.01E+4"
"1.82E-10","10","1.99E+4","1.77E+4","3.20E+4"
"1.82E-10","10","1.85E+4","1.81E+4","3.41E+4"
"1.82E-10","10","1.71E+4","1.86E+4","3.64E+4"
"1.82E-10","10","1.58E+4","1.91E+4","3.90E+4"
"1.82E-10","10","1.47E+4","1.94E+4","4.16E+4"
"1.82E-10","10","1.36E+4","2.02E+4","4.42E+4"
"1.82E-10","10","1.26E+4","2.05E+4","4.72E+4"
"1.82E-10","10","1.17E+4","2.15E+4","5.07E+4"
"1.82E-10","10","1.08E+4","2.24E+4","5.42E+4"
"1.82E-10","10","1.00E+4","2.33E+4","5.80E+4"
"1.82E-10","10","9.26E+3","2.45E+4","6.22E+4"
"1.82E-10","10","8.57E+3","2.59E+4","6.66E+4"
"1.82E-10","10","7.94E+3","2.74E+4","7.14E+4"
"1.82E-10","10","7.35E+3","2.90E+4","7.65E+4"
"1.82E-10","10","6.81E+3","3.06E+4","8.10E+4"
"1.82E-10","10","6.31E+3","3.27E+4","8.68E+4"
"1.82E-10","10","5.84E+3","3.46E+4","9.27E+4"
